Transaction_ID,Date,Merchant,Category,Amount,Payment_Method,Location,Income_Expense,Account_Balance,Year,Month,Month_Name,Quarter,Day_Of_Week,Is_Weekend
100042,2023-01-11,Delhi Metro,Transportation,238.24,UPI,Mumbai,Expense,31735.35,2023,1,January,Q1,Wednesday,0
100043,2023-01-11,DMart,Groceries,624.71,Credit Card,Mumbai,Expense,31110.64,2023,1,January,Q1,Wednesday,0
100044,2023-01-12,Delhi Metro,Transportation,102.57,UPI,Mumbai,Expense,31008.07,2023,1,January,Q1,Thursday,0
100045,2023-01-12,Unknown Merchant,Groceries,249.34,Credit Card,Gurugram,Expense,30758.73,2023,1,January,Q1,Thursday,0
100046,2023-01-12,Printing Shop,Miscellaneous,550.2,Cash,Hyderabad,Expense,30208.53,2023,1,January,Q1,Thursday,0
100047,2023-01-13,DMart,Groceries,243.62,Net Banking,Gurugram,Expense,29964.91,2023,1,January,Q1,Friday,0
100048,2023-01-13,Rapido,Transportation,34.61,Net Banking,Gurugram,Expense,29930.3,2023,1,January,Q1,Friday,0
100049,2023-01-13,DMart,Groceries,310.31,Credit Card,Online,Expense,29619.99,2023,1,January,Q1,Friday,0
100050,2023-01-14,BSES,Bills,781.32,Debit Card,Noida,Expense,28838.67,2023,1,January,Q1,Saturday,1
100051,2023-01-14,Netflix,Entertainment,486.18,UPI,New Delhi,Expense,28352.49,2023,1,January,Q1,Saturday,1
100052,2023-01-14,Ajio,Shopping,2257.05,Credit Card,Mumbai,Expense,26095.44,2023,1,January,Q1,Saturday,1
100053,2023-01-14,Uber,Transportation,144.8,Credit Card,Unknown,Expense,25950.64,2023,1,January,Q1,Saturday,1
100054,2023-01-15,Myntra,Shopping,1105.28,Credit Card,Gurugram,Expense,24845.36,2023,1,January,Q1,Sunday,1
100055,2023-01-15,Printing Shop,Miscellaneous,398.74,Credit Card,Hyderabad,Expense,24446.62,2023,1,January,Q1,Sunday,1
100056,2023-01-15,DMart,Groceries,329.43,Debit Card,Noida,Expense,24117.19,2023,1,January,Q1,Sunday,1
100057,2023-01-17,Unknown Merchant,Bills,581.91,UPI,Noida,Expense,23535.28,2023,1,January,Q1,Tuesday,0
100058,2023-01-18,IndiGo,Travel,5372.0,Debit Card,New Delhi,Expense,18163.28,2023,1,January,Q1,Wednesday,0
100059,2023-01-18,Domino's,Food & Dining,281.15,Net Banking,Online,Expense,17882.13,2023,1,January,Q1,Wednesday,0
100060,2023-01-18,Delhi Metro,Transportation,120.78,Net Banking,Mumbai,Expense,17761.35,2023,1,January,Q1,Wednesday,0
100061,2023-01-18,BigBasket,Groceries,650.9,UPI,Noida,Expense,17110.45,2023,1,January,Q1,Wednesday,0
100062,2023-01-18,Uber,Transportation,93.53,Credit Card,Noida,Expense,17016.92,2023,1,January,Q1,Wednesday,0
100063,2023-01-19,Burger King,Food & Dining,171.28,Credit Card,Hyderabad,Expense,16845.64,2023,1,January,Q1,Thursday,0
100064,2023-01-19,Uber,Transportation,242.8,Debit Card,New Delhi,Expense,16602.84,2023,1,January,Q1,Thursday,0
100065,2023-01-19,LeetCode,Education,874.67,UPI,New Delhi,Expense,15728.17,2023,1,January,Q1,Thursday,0
100066,2023-01-19,IndiGo,Travel,1544.21,Debit Card,New Delhi,Expense,14183.96,2023,1,January,Q1,Thursday,0
100067,2023-01-19,PVR Cinemas,Entertainment,221.82,Net Banking,Hyderabad,Expense,13962.14,2023,1,January,Q1,Thursday,0
100068,2023-01-20,Google Pay Rewards,Cashback,188.57,UPI,Hyderabad,Income,14150.71,2023,1,January,Q1,Friday,0
100069,2023-01-20,McDonald's,Food & Dining,222.47,Credit Card,Hyderabad,Expense,13928.24,2023,1,January,Q1,Friday,0
100070,2023-01-20,Gift Shop,Miscellaneous,790.92,Cash,Hyderabad,Expense,13137.32,2023,1,January,Q1,Friday,0
100071,2023-01-21,Blinkit,Groceries,813.51,Credit Card,Gurugram,Expense,12323.81,2023,1,January,Q1,Saturday,1
100072,2023-01-21,BigBasket,Groceries,229.81,Net Banking,Hyderabad,Expense,12094.0,2023,1,January,Q1,Saturday,1
100073,2023-01-21,Swiggy,Food & Dining,99.17,Credit Card,New Delhi,Expense,11994.83,2023,1,January,Q1,Saturday,1
100074,2023-01-22,Gate Academy,Education,1415.67,Debit Card,Online,Expense,10579.16,2023,1,January,Q1,Sunday,1
100075,2023-01-23,Uber,Transportation,174.14,Net Banking,Mumbai,Expense,10405.02,2023,1,January,Q1,Monday,0
100076,2023-01-23,Domino's,Food & Dining,334.59,Credit Card,Mumbai,Expense,10070.43,2023,1,January,Q1,Monday,0
100077,2023-01-23,PVR Cinemas,Entertainment,582.91,Cash,Mumbai,Expense,9487.52,2023,1,January,Q1,Monday,0
100078,2023-01-23,Gate Academy,Education,1566.48,Cash,Online,Expense,7921.04,2023,1,January,Q1,Monday,0
100079,2023-01-23,Burger King,Food & Dining,297.11,Cash,New Delhi,Expense,7623.93,2023,1,January,Q1,Monday,0
100080,2023-01-23,Zomato,Food & Dining,267.37,Net Banking,Online,Expense,7356.56,2023,1,January,Q1,Monday,0
100081,2023-01-24,Campus Project,Freelance,9628.24,Net Banking,Hyderabad,Income,16984.8,2023,1,January,Q1,Tuesday,0
100082,2023-01-24,Domino's,Food & Dining,274.96,Net Banking,Noida,Expense,16709.84,2023,1,January,Q1,Tuesday,0
100083,2023-01-24,Blinkit,Groceries,554.43,Credit Card,Online,Expense,16155.41,2023,1,January,Q1,Tuesday,0
100084,2023-01-24,Ola,Transportation,224.63,Debit Card,Gurugram,Expense,15930.78,2023,1,January,Q1,Tuesday,0
100085,2023-01-25,Airtel,Bills,602.95,UPI,Online,Expense,15327.83,2023,1,January,Q1,Wednesday,0
100086,2023-01-25,IRCTC,Travel,5162.3,Cash,Online,Expense,10165.53,2023,1,January,Q1,Wednesday,0
100087,2023-01-25,Flipkart,Shopping,1262.66,Debit Card,Hyderabad,Expense,8902.87,2023,1,January,Q1,Wednesday,0
100088,2023-01-26,Coursera,Education,465.85,UPI,Mumbai,Expense,8437.02,2023,1,January,Q1,Thursday,0
100089,2023-01-26,Chaayos,Food & Dining,185.41,Cash,Gurugram,Expense,8251.61,2023,1,January,Q1,Thursday,0
100090,2023-01-26,Rapido,Transportation,240.18,Credit Card,Noida,Expense,8011.43,2023,1,January,Q1,Thursday,0
100091,2023-01-26,BSES,Bills,480.26,Cash,Hyderabad,Expense,7531.17,2023,1,January,Q1,Thursday,0
100092,2023-01-26,Printing Shop,Miscellaneous,51.27,Credit Card,Gurugram,Expense,7479.9,2023,1,January,Q1,Thursday,0
100093,2023-01-26,Reliance Fresh,Groceries,825.89,UPI,Gurugram,Expense,6654.01,2023,1,January,Q1,Thursday,0
100094,2023-01-27,BSES,Bills,539.65,UPI,New Delhi,Expense,6114.36,2023,1,January,Q1,Friday,0
100095,2023-01-28,DMart,Groceries,358.64,Credit Card,Mumbai,Expense,5755.72,2023,1,January,Q1,Saturday,1
100096,2023-01-28,Myntra,Shopping,1641.67,Net Banking,Noida,Expense,4114.05,2023,1,January,Q1,Saturday,1
100097,2023-01-28,Unknown Merchant,Food & Dining,208.73,Credit Card,New Delhi,Expense,3905.32,2023,1,January,Q1,Saturday,1
100098,2023-01-28,Coursera,Education,2051.47,Debit Card,Noida,Expense,1853.85,2023,1,January,Q1,Saturday,1
100099,2023-01-28,Swiggy,Food & Dining,168.63,Debit Card,Gurugram,Expense,1685.22,2023,1,January,Q1,Saturday,1
100100,2023-02-01,IIT Delhi,Salary/Stipend,14336.86,Net Banking,New Delhi,Income,16022.08,2023,2,February,Q1,Wednesday,0
100101,2023-02-01,Zerodha,Investment,770.25,Net Banking,Mumbai,Expense,15251.83,2023,2,February,Q1,Wednesday,0
100102,2023-02-01,Hostel Laundry,Bills,516.89,Debit Card,Noida,Expense,14734.94,2023,2,February,Q1,Wednesday,0
100103,2023-02-01,Printing Shop,Miscellaneous,257.2,Credit Card,New Delhi,Expense,14477.74,2023,2,February,Q1,Wednesday,0
100104,2023-02-01,Campus Canteen,Food & Dining,325.82,Credit Card,Online,Expense,14151.92,2023,2,February,Q1,Wednesday,0
100105,2023-02-01,Swiggy,Food & Dining,160.86,Debit Card,New Delhi,Expense,13991.06,2023,2,February,Q1,Wednesday,0
100106,2023-02-02,Parents,Family Support,42134.64,Net Banking,Hyderabad,Income,56125.7,2023,2,February,Q1,Thursday,0
100107,2023-02-02,BigBasket,Groceries,711.77,Credit Card,Mumbai,Expense,55413.93,2023,2,February,Q1,Thursday,0
100108,2023-02-02,Chaayos,Food & Dining,338.47,UPI,Noida,Expense,55075.46,2023,2,February,Q1,Thursday,0
100109,2023-02-02,Domino's,Food & Dining,249.41,Cash,New Delhi,Expense,54826.05,2023,2,February,Q1,Thursday,0
100110,2023-02-03,Flipkart,Shopping,2385.53,UPI,Hyderabad,Expense,52440.52,2023,2,February,Q1,Friday,0
100111,2023-02-03,Reliance Fresh,Groceries,564.19,UPI,Online,Expense,51876.33,2023,2,February,Q1,Friday,0
100112,2023-02-03,Unknown Merchant,Education,2433.9,Debit Card,Gurugram,Expense,49442.43,2023,2,February,Q1,Friday,0
100113,2023-02-03,BSES,Bills,537.23,Net Banking,Online,Expense,48905.2,2023,2,February,Q1,Friday,0
100114,2023-02-03,BSES,Bills,905.6,Debit Card,Mumbai,Expense,47999.6,2023,2,February,Q1,Friday,0
100115,2023-02-04,Hostel Fee,Rent,5699.8,UPI,New Delhi,Expense,42299.8,2023,2,February,Q1,Saturday,1
100116,2023-02-04,Printing Shop,Miscellaneous,520.43,Debit Card,Mumbai,Expense,41779.37,2023,2,February,Q1,Saturday,1
100117,2023-02-04,Flipkart,Shopping,695.09,Credit Card,Gurugram,Expense,41084.28,2023,2,February,Q1,Saturday,1
100118,2023-02-05,Chaayos,Food & Dining,253.54,Cash,Noida,Expense,40830.74,2023,2,February,Q1,Sunday,1
100119,2023-02-05,Zomato,Food & Dining,85.5,Credit Card,Online,Expense,40745.24,2023,2,February,Q1,Sunday,1
100120,2023-02-05,Zerodha,Investment,2119.27,Debit Card,Hyderabad,Expense,38625.97,2023,2,February,Q1,Sunday,1
100121,2023-02-05,Ola,Transportation,106.21,Net Banking,Online,Expense,38519.76,2023,2,February,Q1,Sunday,1
100122,2023-02-06,Zomato,Food & Dining,258.32,Credit Card,Hyderabad,Expense,38261.44,2023,2,February,Q1,Monday,0
100123,2023-02-06,Myntra,Shopping,410.67,Net Banking,Mumbai,Expense,37850.77,2023,2,February,Q1,Monday,0
100124,2023-02-06,Reliance Fresh,Groceries,744.39,UPI,Hyderabad,Expense,37106.38,2023,2,February,Q1,Monday,0
100125,2023-02-06,Coursera,Education,1790.74,Cash,Gurugram,Expense,35315.64,2023,2,February,Q1,Monday,0
100126,2023-02-07,McDonald's,Food & Dining,182.36,Debit Card,Gurugram,Expense,35133.28,2023,2,February,Q1,Tuesday,0
100127,2023-02-07,Gift Shop,Miscellaneous,472.98,Debit Card,Gurugram,Expense,34660.3,2023,2,February,Q1,Tuesday,0
100128,2023-02-07,Delhi Metro,Transportation,43.12,Credit Card,Gurugram,Expense,34617.18,2023,2,February,Q1,Tuesday,0
100129,2023-02-08,DMart,Groceries,379.97,Credit Card,Gurugram,Expense,34237.21,2023,2,February,Q1,Wednesday,0
100130,2023-02-08,Ajio,Shopping,2456.74,Net Banking,Online,Expense,31780.47,2023,2,February,Q1,Wednesday,0
100131,2023-02-08,Gate Academy,Education,1663.36,Net Banking,Noida,Expense,30117.11,2023,2,February,Q1,Wednesday,0
100132,2023-02-09,BigBasket,Groceries,416.12,Debit Card,Hyderabad,Expense,29700.99,2023,2,February,Q1,Thursday,0
100133,2023-02-09,Rapido,Transportation,112.58,Cash,New Delhi,Expense,29588.41,2023,2,February,Q1,Thursday,0
100134,2023-02-09,Campus Canteen,Food & Dining,131.34,Credit Card,Mumbai,Expense,29457.07,2023,2,February,Q1,Thursday,0
100135,2023-02-09,Tata 1mg,Health,1511.8,Debit Card,Mumbai,Expense,27945.27,2023,2,February,Q1,Thursday,0
100136,2023-02-10,Campus Canteen,Food & Dining,266.78,Net Banking,Gurugram,Expense,27678.49,2023,2,February,Q1,Friday,0
100137,2023-02-10,McDonald's,Food & Dining,228.29,Cash,New Delhi,Expense,27450.2,2023,2,February,Q1,Friday,0
100138,2023-02-10,Reliance Fresh,Groceries,828.12,Net Banking,Gurugram,Expense,26622.08,2023,2,February,Q1,Friday,0
100139,2023-02-11,DMart,Groceries,385.89,Cash,Hyderabad,Expense,26236.19,2023,2,February,Q1,Saturday,1
100140,2023-02-11,PVR Cinemas,Entertainment,698.09,UPI,Gurugram,Expense,25538.1,2023,2,February,Q1,Saturday,1
100141,2023-02-11,Blinkit,Groceries,513.26,Cash,Gurugram,Expense,25024.84,2023,2,February,Q1,Saturday,1
100142,2023-02-11,Chaayos,Food & Dining,340.65,UPI,Unknown,Expense,24684.19,2023,2,February,Q1,Saturday,1
100143,2023-02-12,Ajio,Shopping,487.46,Credit Card,Online,Expense,24196.73,2023,2,February,Q1,Sunday,1
100144,2023-02-13,MakeMyTrip,Travel,4599.1,Net Banking,Mumbai,Expense,19597.63,2023,2,February,Q1,Monday,0
100145,2023-02-14,BigBasket,Groceries,548.19,Debit Card,Mumbai,Expense,19049.44,2023,2,February,Q1,Tuesday,0
100146,2023-02-14,Air India,Travel,2883.83,Cash,Gurugram,Expense,16165.61,2023,2,February,Q1,Tuesday,0
100147,2023-02-15,Flipkart,Shopping,444.99,Cash,Hyderabad,Expense,15720.62,2023,2,February,Q1,Wednesday,0
100148,2023-02-15,DMart,Groceries,683.88,UPI,Gurugram,Expense,15036.74,2023,2,February,Q1,Wednesday,0
100149,2023-02-15,Campus Canteen,Food & Dining,80.72,Net Banking,Online,Expense,14956.02,2023,2,February,Q1,Wednesday,0
100150,2023-02-15,Amazon,Shopping,2322.68,Cash,Mumbai,Expense,12633.34,2023,2,February,Q1,Wednesday,0
100151,2023-02-15,Domino's,Food & Dining,252.23,UPI,Online,Expense,12381.11,2023,2,February,Q1,Wednesday,0
100152,2023-02-16,Amazon Pay,Cashback,129.2,UPI,Hyderabad,Income,12510.31,2023,2,February,Q1,Thursday,0
100153,2023-02-16,DMart,Groceries,354.7,Cash,Gurugram,Expense,12155.61,2023,2,February,Q1,Thursday,0
100154,2023-02-16,Gate Academy,Education,1562.94,Cash,Gurugram,Expense,10592.67,2023,2,February,Q1,Thursday,0
100155,2023-02-16,Gift Shop,Miscellaneous,361.62,Credit Card,Online,Expense,10231.05,2023,2,February,Q1,Thursday,0
100156,2023-02-16,Swiggy,Food & Dining,183.87,Credit Card,Online,Expense,10047.18,2023,2,February,Q1,Thursday,0
100157,2023-02-17,Delhi Metro,Transportation,105.23,UPI,Online,Expense,9941.95,2023,2,February,Q1,Friday,0
100158,2023-02-17,BookMyShow,Entertainment,222.63,Debit Card,Noida,Expense,9719.32,2023,2,February,Q1,Friday,0
100159,2023-02-18,Chaayos,Food & Dining,189.74,Credit Card,Mumbai,Expense,9529.58,2023,2,February,Q1,Saturday,1
100160,2023-02-18,Zomato,Food & Dining,83.82,Debit Card,New Delhi,Expense,9445.76,2023,2,February,Q1,Saturday,1
100161,2023-02-19,Airtel,Bills,233.16,Debit Card,Hyderabad,Expense,9212.6,2023,2,February,Q1,Sunday,1
100162,2023-02-19,Printing Shop,Miscellaneous,678.11,Cash,Noida,Expense,8534.49,2023,2,February,Q1,Sunday,1
100163,2023-02-20,Reliance Fresh,Groceries,437.69,UPI,Gurugram,Expense,8096.8,2023,2,February,Q1,Monday,0
100164,2023-02-21,Domino's,Food & Dining,220.87,Net Banking,Hyderabad,Expense,7875.93,2023,2,February,Q1,Tuesday,0
100165,2023-02-21,Uber,Transportation,37.04,Credit Card,Noida,Expense,7838.89,2023,2,February,Q1,Tuesday,0
100166,2023-02-21,IndiGo,Travel,6484.47,Cash,New Delhi,Expense,1354.42,2023,2,February,Q1,Tuesday,0
100167,2023-02-22,Chaayos,Food & Dining,141.81,Net Banking,Hyderabad,Expense,1212.61,2023,2,February,Q1,Wednesday,0
100168,2023-02-22,Zerodha,Investment,2998.93,Net Banking,New Delhi,Expense,-1786.32,2023,2,February,Q1,Wednesday,0
100169,2023-02-22,Uber,Transportation,96.66,Credit Card,Gurugram,Expense,-1882.98,2023,2,February,Q1,Wednesday,0
100170,2023-02-22,Rapido,Transportation,133.96,Net Banking,New Delhi,Expense,-2016.94,2023,2,February,Q1,Wednesday,0
100171,2023-02-22,BSES,Bills,358.25,Credit Card,Mumbai,Expense,-2375.19,2023,2,February,Q1,Wednesday,0
100172,2023-02-23,Udemy,Education,1125.68,UPI,Hyderabad,Expense,-3500.87,2023,2,February,Q1,Thursday,0
100173,2023-02-23,IndiGo,Travel,4739.52,Cash,New Delhi,Expense,-8240.39,2023,2,February,Q1,Thursday,0
100174,2023-02-23,Delhi Metro,Transportation,73.24,Cash,New Delhi,Expense,-8313.63,2023,2,February,Q1,Thursday,0
100175,2023-02-23,Chaayos,Food & Dining,281.07,Cash,Online,Expense,-8594.7,2023,2,February,Q1,Thursday,0
100176,2023-02-23,BSES,Bills,732.29,UPI,Mumbai,Expense,-9326.99,2023,2,February,Q1,Thursday,0
100177,2023-02-24,Stationery,Miscellaneous,648.61,Cash,Noida,Expense,-9975.6,2023,2,February,Q1,Friday,0
100178,2023-02-24,Campus Canteen,Food & Dining,243.96,UPI,Noida,Expense,-10219.56,2023,2,February,Q1,Friday,0
100179,2023-02-24,Unknown Merchant,Food & Dining,210.73,Net Banking,Hyderabad,Expense,-10430.29,2023,2,February,Q1,Friday,0
100180,2023-02-24,Airtel,Bills,770.59,Credit Card,Mumbai,Expense,-11200.88,2023,2,February,Q1,Friday,0
100181,2023-02-24,BSES,Bills,1078.37,Net Banking,Gurugram,Expense,-12279.25,2023,2,February,Q1,Friday,0
100182,2023-02-25,BookMyShow,Entertainment,365.39,Debit Card,New Delhi,Expense,-12644.64,2023,2,February,Q1,Saturday,1
100183,2023-02-25,Campus Canteen,Food & Dining,224.68,Credit Card,Noida,Expense,-12869.32,2023,2,February,Q1,Saturday,1
100184,2023-02-25,McDonald's,Food & Dining,177.68,Cash,New Delhi,Expense,-13047.0,2023,2,February,Q1,Saturday,1
100185,2023-02-25,Zerodha,Investment,2067.0,Net Banking,New Delhi,Expense,-15114.0,2023,2,February,Q1,Saturday,1
100186,2023-02-25,Campus Canteen,Food & Dining,344.15,UPI,Online,Expense,-15458.15,2023,2,February,Q1,Saturday,1
100187,2023-02-26,Spotify,Entertainment,524.42,Net Banking,Online,Expense,-15982.57,2023,2,February,Q1,Sunday,1
100188,2023-02-26,Printing Shop,Miscellaneous,742.93,Net Banking,Mumbai,Expense,-16725.5,2023,2,February,Q1,Sunday,1
100189,2023-02-26,Zomato,Food & Dining,250.11,Credit Card,Gurugram,Expense,-16975.61,2023,2,February,Q1,Sunday,1
100190,2023-02-26,Delhi Metro,Transportation,66.18,Net Banking,Hyderabad,Expense,-17041.79,2023,2,February,Q1,Sunday,1
100191,2023-02-27,PVR Cinemas,Entertainment,425.41,Debit Card,Noida,Expense,-17467.2,2023,2,February,Q1,Monday,0
100192,2023-02-27,Hostel Fee,Rent,5153.83,UPI,Online,Expense,-22621.03,2023,2,February,Q1,Monday,0
100193,2023-02-28,McDonald's,Food & Dining,93.87,UPI,New Delhi,Expense,-22714.9,2023,2,February,Q1,Tuesday,0
100194,2023-02-28,Blinkit,Groceries,482.04,Debit Card,Hyderabad,Expense,-23196.94,2023,2,February,Q1,Tuesday,0
100195,2023-02-28,Ajio,Shopping,252.59,Cash,New Delhi,Expense,-23449.53,2023,2,February,Q1,Tuesday,0
100196,2023-02-28,Uber,Transportation,21.86,Net Banking,Mumbai,Expense,-23471.39,2023,2,February,Q1,Tuesday,0
100197,2023-03-01,IIT Delhi,Salary/Stipend,17222.38,Net Banking,New Delhi,Income,-6249.01,2023,3,March,Q1,Wednesday,0
100198,2023-03-01,Swiggy,Food & Dining,252.66,Debit Card,Noida,Expense,-6501.67,2023,3,March,Q1,Wednesday,0
100199,2023-03-01,Ajio,Shopping,345.18,UPI,Gurugram,Expense,-6846.85,2023,3,March,Q1,Wednesday,0
100200,2023-03-02,Parents,Family Support,34366.63,Net Banking,Hyderabad,Income,27519.78,2023,3,March,Q1,Thursday,0
100201,2023-03-02,Delhi Metro,Transportation,238.85,Credit Card,Online,Expense,27280.93,2023,3,March,Q1,Thursday,0
100202,2023-03-02,Gate Academy,Education,1718.62,Debit Card,Noida,Expense,25562.31,2023,3,March,Q1,Thursday,0
100203,2023-03-02,Blinkit,Groceries,873.02,Cash,Online,Expense,24689.29,2023,3,March,Q1,Thursday,0
100204,2023-03-02,Swiggy,Food & Dining,204.67,Debit Card,Gurugram,Expense,24484.62,2023,3,March,Q1,Thursday,0
100205,2023-03-02,PVR Cinemas,Entertainment,575.23,UPI,Gurugram,Expense,23909.39,2023,3,March,Q1,Thursday,0
100206,2023-03-02,Myntra,Shopping,2238.28,Net Banking,Noida,Expense,21671.11,2023,3,March,Q1,Thursday,0
100207,2023-03-02,Gift Shop,Miscellaneous,757.7,Credit Card,New Delhi,Expense,20913.41,2023,3,March,Q1,Thursday,0
100208,2023-03-02,Airtel,Bills,970.63,Cash,Gurugram,Expense,19942.78,2023,3,March,Q1,Thursday,0
100209,2023-03-03,Spotify,Entertainment,780.27,Cash,Online,Expense,19162.51,2023,3,March,Q1,Friday,0
100210,2023-03-03,DMart,Groceries,611.51,Debit Card,Noida,Expense,18551.0,2023,3,March,Q1,Friday,0
100211,2023-03-03,Unknown Merchant,Shopping,1885.93,Net Banking,Noida,Expense,16665.07,2023,3,March,Q1,Friday,0
100212,2023-03-03,BigBasket,Groceries,390.91,Debit Card,Gurugram,Expense,16274.16,2023,3,March,Q1,Friday,0
100213,2023-03-04,Hostel Fee,Rent,5048.66,UPI,New Delhi,Expense,11225.5,2023,3,March,Q1,Saturday,1
100214,2023-03-04,Rapido,Transportation,80.83,Debit Card,Mumbai,Expense,11144.67,2023,3,March,Q1,Saturday,1
100215,2023-03-04,Chaayos,Food & Dining,166.04,Debit Card,Noida,Expense,10978.63,2023,3,March,Q1,Saturday,1
100216,2023-03-05,Zomato,Food & Dining,311.77,Net Banking,Gurugram,Expense,10666.86,2023,3,March,Q1,Sunday,1
100217,2023-03-05,Rapido,Transportation,61.72,UPI,Noida,Expense,10605.14,2023,3,March,Q1,Sunday,1
