Transaction_ID,Date,Merchant,Category,Amount,Payment_Method,Location,Income_Expense,Account_Balance
100026,06-Jan-2023,BigBasket,Groceries,255.14,Cash,Noida,Expense,42515.09
100027,06/01/2023,Groww,Investment,700.28,Net Banking,New Delhi,Expense,41814.81
100028,2023-01-07,Delhi Metro,Transportation,83.91,UPI,New Delhi,Expense,41730.9
100029,07-Jan-2023,BSES,Bills,889.37,Net Banking,Online,Expense,40841.53
100030,07/01/2023,Gift Shop,Miscellaneous,465.81,Cash,Mumbai,Expense,40375.72
100031,07-Jan-2023,Ajio,Shopping,933.72,Net Banking,,Expense,39442.0
100032,08-Jan-2023,Gift Shop,Miscellaneous,84.37,UPI,Noida,Expense,39357.63
100033,08/01/2023,Udemy,Education,1178.68,Net Banking,Online,Expense,38178.95
100034,08/01/2023,Spotify,Entertainment,748.03,Credit Card,Online,Expense,37430.92
100035,2023-01-08,Udemy,Education,2188.91,,Gurugram,Expense,35242.01
100036,08/01/2023,Ola,Transportation,202.93,UPI,Mumbai,Expense,35039.08
100037,09/01/2023,Gift Shop,Miscellaneous,285.64,Credit Card,Mumbai,Expense,34753.44
100038,09/01/2023,Flipkart,SHOPPING,2074.19,UPI,Online,Expense,32679.25
100039,10-Jan-2023,BookMyShow,Entertainment,338.12,Credit Card,Online,Expense,32341.13
100040,11/01/2023,McDonald's,Food & Dining,88.67,Debit Card,New Delhi,Expense,32252.46
100041,11-Jan-2023,Chaayos,Food & Dining,278.87,Cash,Mumbai,Expense,31973.59
100042,2023-01-11,Delhi Metro,Transportation,238.24,UPI,Mumbai,Expense,31735.35
100043,11-Jan-2023,DMart,Groceries,624.71,Credit Card,Mumbai,Expense,31110.64
100044,12/01/2023,Delhi Metro,transportation,102.57,UPI,Mumbai,Expense,31008.07
100045,12-Jan-2023,,Groceries,249.34,Credit Card,Gurugram,Expense,30758.73
100046,12/01/2023,Printing Shop,Others,550.2,Cash,Hyderabad,Expense,30208.53
100047,2023-01-13,DMart,Groceries,243.62,Net Banking,Gurugram,Expense,29964.91
100048,13/01/2023,Rapido,Transportation,34.61,Net Banking,Gurugram,Expense,29930.3
100049,13/01/2023,  DMart ,  Groceries ,310.31,Credit Card,  Online ,Expense,29619.99
100050,14-Jan-2023,BSES,Bills,781.32,Debit Card,Noida,Expense,28838.67
100051,2023-01-14,Netflix,Entertainment,486.18,UPI,New Delhi,Expense,28352.49
100052,14-Jan-2023,Ajio,Shopping,2257.05,Credit Card,Mumbai,Expense,26095.44
100053,2023-01-14,Uber,Transportation,144.8,Credit Card,,Expense,25950.64
100054,2023-01-15,Myntra,Shopping,1105.28,Credit Card,Gurugram,Expense,24845.36
100055,2023-01-15,  Printing Shop ,  Miscellaneous ,398.74,Credit Card,  Hyderabad ,Expense,24446.62
100056,15/01/2023,DMart,Groceries,329.43,Debit Card,Noida,Expense,24117.19
100057,2023-01-17,NAN,Utility Bills,581.91,UPI,Noida,Expense,23535.28
100057,17/01/2023,,Bills,581.91,UPI,Noida,Expense,23535.28
100058,2023-01-18,IndiGo,Travel,5372.0,Debit Card,New Delhi,Expense,18163.28
100059,18-Jan-2023,Domino's,food & dining,281.15,Net Banking,Online,Expense,17882.13
100060,18-Jan-2023,Delhi Metro,Transportation,120.78,Net Banking,Mumbai,Expense,17761.35
100061,18/01/2023,BigBasket,Groceries,650.9,UPI,Noida,Expense,17110.45
100062,2023-01-18,Uber,Transport,93.53,Credit Card,Noida,Expense,17016.92
100063,19/01/2023,Burger King,food & dining,171.28,Credit Card,Hyderabad,Expense,16845.64
100064,19/01/2023,Uber,Transportation,242.8,Debit Card,New Delhi,Expense,16602.84
100065,19/01/2023,LeetCode,Education,874.67,  UPI ,New Delhi,Expense,15728.17
100066,19/01/2023,IndiGo,Travel,1544.21,Debit Card,New Delhi,Expense,14183.96
100067,19-Jan-2023,PVR Cinemas,Entertainment,221.82,,Hyderabad,Expense,13962.14
100068,2023-01-20,Google Pay Rewards,Cashback,188.57,UPI,Hyderabad,Income,14150.71
100069,20-Jan-2023,McDonald's,Food,222.47,Credit Card,Hyderabad,Expense,13928.24
100070,2023-01-20,Gift Shop,Miscellaneous,790.92,Cash,Hyderabad,Expense,13137.32
100071,21/01/2023,Blinkit,Groceries,813.51,Credit Card,Gurugram,Expense,12323.81
100072,21-Jan-2023,BigBasket,Groceries,229.81,Net Banking,Hyderabad,Expense,12094.0
100073,2023-01-21,Swiggy,Food & Dining,99.17,Credit Card,New Delhi,Expense,11994.83
100074,2023-01-22,Gate Academy,Education,1415.67,Debit Card,Online,Expense,10579.16
100075,23-Jan-2023,Uber,Transportation,174.14,Net Banking,Mumbai,Expense,10405.02
100076,2023-01-23,Domino's,Food & Dining,334.59,Credit Card,Mumbai,Expense,10070.43
100077,2023-01-23,PVR Cinemas,Entertainment,582.91,Cash,Mumbai,Expense,9487.52
100078,2023-01-23,Gate Academy,Education,1566.48,Cash,Online,Expense,7921.04
100079,23-Jan-2023,Burger King,Food & Dining,297.11,Cash,New Delhi,Expense,7623.93
100080,23-Jan-2023,Zomato,Food & Dining,267.37,,Online,Expense,7356.56
100081,24/01/2023,CAMPUS PROJECT,Freelance,9628.24,Net Banking,Hyderabad,Income,16984.8
100082,24-Jan-2023,Domino's,Food & Dining,274.96,Net Banking,Noida,Expense,16709.84
100083,24-Jan-2023,Blinkit,Groceries,554.43,Credit Card,Online,Expense,16155.41
100084,2023-01-24,Ola,Transportation,224.63,Debit Card,Gurugram,Expense,15930.78
100085,25-Jan-2023,Airtel,Bills,602.95,UPI,Online,Expense,15327.83
100086,25-Jan-2023,IRCTC,Travel,5162.3,Cash,Online,Expense,10165.53
100087,25-Jan-2023,Flipkart,Shopping,1262.66,Debit Card,Hyderabad,Expense,8902.87
100088,2023-01-26,Coursera,Education,465.85,UPI,Mumbai,Expense,8437.02
100089,26-Jan-2023,Chaayos,Food & Dining,185.41,Cash,Gurugram,Expense,8251.61
100090,26/01/2023,Rapido,Transportation,240.18,Credit Card,Noida,Expense,8011.43
100091,26-Jan-2023,BSES,Bills,480.26,Cash,Hyderabad,Expense,7531.17
100092,2023-01-26,Printing Shop,Miscellaneous,51.27,Credit Card,Gurugram,Expense,7479.9
100093,26-Jan-2023,Reliance Fresh,Groceries,825.89,UPI,Gurugram,Expense,6654.01
100094,27-Jan-2023,BSES,Bills,539.65,UPI,New Delhi,Expense,6114.36
100095,2023-01-28,DMart,Groceries,358.64,Credit Card,Mumbai,Expense,5755.72
100096,28/01/2023,Myntra,Shopping,1641.67,Net Banking,Noida,Expense,4114.05
100097,2023-01-28,,Food & Dining,208.73,Credit Card,New Delhi,Expense,3905.32
100097,28/01/2023,,FOOD,208.73,Credit Card,New Delhi,Expense,3905.32
100098,2023-01-28,Coursera,Education,2051.47,Debit Card,Noida,Expense,1853.85
100099,28-Jan-2023,Swiggy,Food & Dining,-168.63,Debit Card,Gurugram,Expense,1685.22
100100,2023-02-01,IIT Delhi,Salary/Stipend,14336.86,Net Banking,New Delhi,Income,16022.08
100101,01-Feb-2023,Zerodha,Investment,770.25,  Net Banking ,Mumbai,Expense,15251.83
100102,01-Feb-2023,Hostel Laundry,Utility Bills,516.89,Debit Card,Noida,Expense,14734.94
100103,01-Feb-2023,Printing Shop,Others,257.2,Credit Card,New Delhi,Expense,14477.74
100104,2023-02-01,Campus Canteen,Food & Dining,325.82,  Credit Card ,Online,Expense,14151.92
100105,01-Feb-2023,Swiggy,Food & Dining,160.86,Debit Card,New Delhi,Expense,13991.06
100106,2023-02-02,Parents,Family Support,42134.64,Net Banking,Hyderabad,Income,56125.7
100107,02-Feb-2023,BigBasket,Groceries,711.77,Credit Card,Mumbai,Expense,55413.93
100108,02-Feb-2023,Chaayos,Food & Dining,338.47,UPI,Noida,Expense,55075.46
100109,02/02/2023,Domino's,food & dining,249.41,Cash,New Delhi,Expense,54826.05
100110,2023-02-03,Flipkart,Shopping,2385.53,UPI,Hyderabad,Expense,52440.52
100111,03/02/2023,Reliance Fresh,Groceries,564.19,UPI,Online,Expense,51876.33
100112,03-Feb-2023,,Education,2433.9,Debit Card,Gurugram,Expense,49442.43
100112,2023-02-03,,Education,2433.9,Debit Card,Gurugram,Expense,49442.43
100113,03/02/2023,BSES,Bills,537.23,Net Banking,Online,Expense,48905.2
100114,03/02/2023,BSES,Bills,905.6,Debit Card,Mumbai,Expense,47999.6
100115,04/02/2023,Hostel Fee,Rent,5699.8,UPI,New Delhi,Expense,42299.8
100116,04-Feb-2023,Printing Shop,Miscellaneous,520.43,Debit Card,Mumbai,Expense,41779.37
100117,04/02/2023,Flipkart,Shopping,695.09,Credit Card,Gurugram,Expense,41084.28
100118,05/02/2023,Chaayos,food & dining,253.54,Cash,Noida,Expense,40830.74
100119,05/02/2023,Zomato,Food & Dining,85.5,Credit Card,Online,Expense,40745.24
100120,05/02/2023,Zerodha,Investment,2119.27,Debit Card,Hyderabad,Expense,38625.97
100121,2023-02-05,Ola,Transportation,106.21,Net Banking,Online,Expense,38519.76
100122,06-Feb-2023,Zomato,Food & Dining,258.32,  Credit Card ,Hyderabad,Expense,38261.44
100123,06/02/2023,Myntra,shopping,410.67,Net Banking,Mumbai,Expense,37850.77
100124,2023-02-06,Reliance Fresh,Groceries,744.39,UPI,Hyderabad,Expense,37106.38
100125,2023-02-06,Coursera,Education,1790.74,Cash,Gurugram,Expense,35315.64
100126,07/02/2023,McDonald's,Food & Dining,182.36,Debit Card,Gurugram,Expense,35133.28
100127,07-Feb-2023,Gift Shop,Miscellaneous,472.98,Debit Card,Gurugram,Expense,34660.3
100128,07-Feb-2023,Delhi Metro,transportation,43.12,Credit Card,Gurugram,Expense,34617.18
100129,08-Feb-2023,DMart,Groceries,379.97,Credit Card,Gurugram,Expense,34237.21
100130,08/02/2023,Ajio,Shopping,2456.74,,Online,Expense,31780.47
100131,2023-02-08,Gate Academy,Education,1663.36,Net Banking,Noida,Expense,30117.11
100132,09-Feb-2023,BigBasket,Groceries,416.12,Debit Card,Hyderabad,Expense,29700.99
100133,09-Feb-2023,Rapido,Transport,112.58,  Cash ,New Delhi,Expense,29588.41
100134,09-Feb-2023,Campus Canteen,Food & Dining,131.34,Credit Card,Mumbai,Expense,29457.07
100135,2023-02-09,Tata 1mg,Health,1511.8,Debit Card,Mumbai,Expense,27945.27
100136,2023-02-10,Campus Canteen,FOOD,266.78,Net Banking,Gurugram,Expense,27678.49
100137,10/02/2023,MCDONALD'S,Food,228.29,Cash,New Delhi,Expense,27450.2
100138,2023-02-10,Reliance Fresh,Groceries,828.12,Net Banking,Gurugram,Expense,26622.08
100139,2023-02-11,DMart,Groceries,385.89,Cash,Hyderabad,Expense,26236.19
100140,11/02/2023,PVR Cinemas,Entertainment,698.09,UPI,Gurugram,Expense,25538.1
100141,2023-02-11,Blinkit,Groceries,513.26,Cash,Gurugram,Expense,25024.84
100142,2023-02-11,Chaayos,Food & Dining,340.65,UPI,,Expense,24684.19
100143,12/02/2023,Ajio,Shopping,487.46,Credit Card,Online,Expense,24196.73
100144,2023-02-13,MakeMyTrip,Travel,4599.1,Net Banking,Mumbai,Expense,19597.63
100145,14-Feb-2023,BigBasket,Groceries,548.19,Debit Card,Mumbai,Expense,19049.44
100146,14/02/2023,Air India,Travel,2883.83,Cash,Gurugram,Expense,16165.61
100147,15/02/2023,Flipkart,shopping,444.99,Cash,Hyderabad,Expense,15720.62
100148,15-Feb-2023,DMart,Groceries,683.88,UPI,Gurugram,Expense,15036.74
100149,2023-02-15,CAMPUS CANTEEN,Food & Dining,80.72,Net Banking,Online,Expense,14956.02
100150,2023-02-15,Amazon,Shopping,2322.68,Cash,Mumbai,Expense,12633.34
100151,15/02/2023,Domino's,Food & Dining,252.23,UPI,Online,Expense,12381.11
100152,2023-02-16,Amazon Pay,Cashback,129.2,UPI,Hyderabad,Income,12510.31
100153,2023-02-16,DMart,Groceries,354.7,Cash,Gurugram,Expense,12155.61
100154,16/02/2023,Gate Academy,Education,1562.94,Cash,Gurugram,Expense,10592.67
100155,2023-02-16,Gift Shop,Miscellaneous,361.62,Credit Card,Online,Expense,10231.05
100156,16/02/2023,Swiggy,Food & Dining,183.87,Credit Card,Online,Expense,10047.18
100157,2023-02-17,Delhi Metro,transportation,105.23,UPI,Online,Expense,9941.95
100158,17-Feb-2023,BookMyShow,Entertainment,222.63,Debit Card,Noida,Expense,9719.32
100159,18-Feb-2023,Chaayos,Food & Dining,189.74,Credit Card,Mumbai,Expense,9529.58
100160,18-Feb-2023,Zomato,Food & Dining,83.82,Debit Card,New Delhi,Expense,9445.76
100161,19-Feb-2023,Airtel,utilities,233.16,Debit Card,Hyderabad,Expense,9212.6
100162,2023-02-19,Printing Shop,Miscellaneous,678.11,Cash,Noida,Expense,8534.49
100163,2023-02-20,Reliance Fresh,Groceries,437.69,UPI,Gurugram,Expense,8096.8
100164,21/02/2023,Domino's,Food & Dining,220.87,Net Banking,Hyderabad,Expense,7875.93
100165,2023-02-21,Uber,Transportation,37.04,Credit Card,Noida,Expense,7838.89
100166,21-Feb-2023,IndiGo,Travel,6484.47,Cash,New Delhi,Expense,1354.42
100167,22/02/2023,Chaayos,Food & Dining,141.81,Net Banking,Hyderabad,Expense,1212.61
100168,22/02/2023,Zerodha,Investment,2998.93,Net Banking,New Delhi,Expense,-1786.32
100169,2023-02-22,Uber,transportation,96.66,Credit Card,Gurugram,Expense,-1882.98
100170,22-Feb-2023,Rapido,Transportation,133.96,Net Banking,New Delhi,Expense,-2016.94
100171,2023-02-22,BSES,Bills,358.25,Credit Card,Mumbai,Expense,-2375.19
100172,23-Feb-2023,Udemy,Education,1125.68,UPI,Hyderabad,Expense,-3500.87
100173,23/02/2023,IndiGo,Travel,4739.52,Cash,New Delhi,Expense,-8240.39
100174,23-Feb-2023,Delhi Metro,Transportation,73.24,Cash,New Delhi,Expense,-8313.63
100175,2023-02-23,Chaayos,FOOD,281.07,Cash,Online,Expense,-8594.7
100176,23-Feb-2023,BSES,Bills,732.29,UPI,Mumbai,Expense,-9326.99
100177,24-Feb-2023,Stationery,Miscellaneous,648.61,Cash,Noida,Expense,-9975.6
100178,24/02/2023,Campus Canteen,Food & Dining,243.96,UPI,Noida,Expense,-10219.56
100179,2023-02-24,,Food & Dining,210.73,Net Banking,Hyderabad,Expense,-10430.29
100180,24-Feb-2023,Airtel,Utility Bills,770.59,Credit Card,Mumbai,Expense,-11200.88
100181,24/02/2023,BSES,Utility Bills,1078.37,Net Banking,Gurugram,Expense,-12279.25
100182,25/02/2023,BookMyShow,Entertainment,365.39,Debit Card,New Delhi,Expense,-12644.64
100183,2023-02-25,Campus Canteen,Food,224.68,Credit Card,Noida,Expense,-12869.32
100184,25-Feb-2023,McDonald's,Food & Dining,177.68,Cash,New Delhi,Expense,-13047.0
100185,25-Feb-2023,Zerodha,Investment,2067.0,Net Banking,New Delhi,Expense,-15114.0
100186,25-Feb-2023,Campus Canteen,Food & Dining,344.15,UPI,Online,Expense,-15458.15
100187,26/02/2023,Spotify,Entertainment,524.42,Net Banking,Online,Expense,-15982.57
100188,2023-02-26,Printing Shop,misc,742.93,Net Banking,Mumbai,Expense,-16725.5
100189,2023-02-26,Zomato,Food & Dining,250.11,Credit Card,Gurugram,Expense,-16975.61
100190,26-Feb-2023,Delhi Metro,Transport,66.18,Net Banking,Hyderabad,Expense,-17041.79
100191,27/02/2023,PVR Cinemas,entertainment,425.41,Debit Card,Noida,Expense,-17467.2
100192,27/02/2023,Hostel Fee,Rent,5153.83,UPI,Online,Expense,-22621.03
100193,2023-02-28,McDonald's,Food & Dining,93.87,UPI,New Delhi,Expense,-22714.9
100194,28/02/2023,Blinkit,Groceries,482.04,Debit Card,Hyderabad,Expense,-23196.94
100195,28/02/2023,Ajio,Shopping,252.59,Cash,New Delhi,Expense,-23449.53
100196,2023-02-28,Uber,Transportation,21.86,Net Banking,Mumbai,Expense,-23471.39
100197,01-Mar-2023,IIT Delhi,Salary/Stipend,17222.38,Net Banking,New Delhi,Income,-6249.01
100198,01/03/2023,Swiggy,Food & Dining,252.66,Debit Card,Noida,Expense,-6501.67
100199,01/03/2023,Ajio,shopping,345.18,  UPI ,Gurugram,Expense,-6846.85
100200,02-Mar-2023,Parents,Family Support,34366.63,Net Banking,Hyderabad,Income,27519.78
100201,2023-03-02,Delhi Metro,transportation,238.85,Credit Card,Online,Expense,27280.93
100202,02-Mar-2023,Gate Academy,Education,1718.62,Debit Card,Noida,Expense,25562.31
100203,02-Mar-2023,Blinkit,Groceries,873.02,Cash,Online,Expense,24689.29
100204,02/03/2023,Swiggy,Food & Dining,204.67,Debit Card,Gurugram,Expense,24484.62
100205,02/03/2023,PVR Cinemas,Entertainment,575.23,UPI,Gurugram,Expense,23909.39
100206,2023-03-02,Myntra,shopping,2238.28,Net Banking,Noida,Expense,21671.11
100207,02-Mar-2023,Gift Shop,Others,757.7,Credit Card,New Delhi,Expense,20913.41
100208,2023-03-02,Airtel,Bills,970.63,Cash,Gurugram,Expense,19942.78
100209,2023-03-03,Spotify,Entertainment,780.27,Cash,Online,Expense,19162.51
100210,03-Mar-2023,DMART,Groceries,611.51,Debit Card,Noida,Expense,18551.0
100211,03-Mar-2023,,Shopping,1885.93,Net Banking,Noida,Expense,16665.07
100211,03-Mar-2023,,Shopping,1885.93,Net Banking,Noida,Expense,16665.07
100212,03-Mar-2023,BigBasket,Groceries,390.91,Debit Card,Gurugram,Expense,16274.16
100213,04/03/2023,Hostel Fee,Rent,5048.66,UPI,New Delhi,Expense,11225.5
100214,2023-03-04,Rapido,Commute,80.83,Debit Card,Mumbai,Expense,11144.67
100215,04-Mar-2023,Chaayos,Food & Dining,166.04,Debit Card,Noida,Expense,10978.63
100216,05/03/2023,Zomato,Food & Dining,311.77,Net Banking,Gurugram,Expense,10666.86
100217,05-Mar-2023,Rapido,Transportation,61.72,UPI,Noida,Expense,10605.14
100218,05/03/2023,Delhi Metro,Transportation,68.58,Debit Card,Gurugram,Expense,10536.56
100219,05/03/2023,Ajio,SHOPPING,1661.24,UPI,Online,Expense,8875.32
100220,2023-03-05,Delhi Metro,Transportation,154.03,Debit Card,Mumbai,Expense,8721.29
100221,06-Mar-2023,Myntra,SHOPPING,851.76,  Debit Card ,Gurugram,Expense,7869.53
100222,2023-03-06,Chaayos,Food & Dining,94.2,Net Banking,New Delhi,Expense,7775.33
100223,06/03/2023,Rapido,Transportation,242.23,Debit Card,New Delhi,Expense,7533.1
100224,06-Mar-2023,Jio,utilities,269.68,Cash,New Delhi,Expense,7263.42
100225,06-Mar-2023,Blinkit,Groceries,688.25,Debit Card,Online,Expense,6575.17
100226,06/03/2023,DMart,Groceries,712.42,Credit Card,Hyderabad,Expense,5862.75
100227,07/03/2023,IRCTC,Travel,6444.94,Net Banking,Noida,Expense,-582.19
100228,08-Mar-2023,BSES,utilities,994.36,Credit Card,Hyderabad,Expense,-1576.55
100229,08-Mar-2023,Rapido,Transport,175.56,Net Banking,Gurugram,Expense,-1752.11
100230,08/03/2023,Spotify,Fun,648.66,Debit Card,Online,Expense,-2400.77
100231,08/03/2023,McDonald's,Food & Dining,215.54,UPI,Gurugram,Expense,-2616.31
100232,08-Mar-2023,McDonald's,Food & Dining,112.9,Net Banking,Online,Expense,-2729.21
100233,09/03/2023,BSES,Bills,172.25,Cash,Hyderabad,Expense,-2901.46
100234,09/03/2023,DMart,Groceries,377.12,Debit Card,Hyderabad,Expense,-3278.58
100235,2023-03-09,IRCTC,Travel,4664.12,Credit Card,Gurugram,Expense,-7942.7
100236,2023-03-10,McDonald's,Food & Dining,335.49,,New Delhi,Expense,-8278.19
100237,2023-03-10,BigBasket,Groceries,268.06,  Net Banking ,Hyderabad,Expense,-8546.25
100238,10-Mar-2023,Domino's,Dining,263.16,,Noida,Expense,-8809.41
100239,10/03/2023,Hostel Fee,Rent,4732.42,Net Banking,Hyderabad,Expense,-13541.83
100240,2023-03-11,Blinkit,Groceries,321.37,Cash,Online,Expense,-13863.2
100241,11-Mar-2023,Printing Shop,Miscellaneous,284.41,Debit Card,Gurugram,Expense,-14147.61
100242,11/03/2023,Ola,Commute,91.36,Debit Card,Noida,Expense,-14238.97
100243,2023-03-11,Reliance Fresh,Groceries,632.62,Net Banking,New Delhi,Expense,-14871.59
100244,11-Mar-2023,  PVR Cinemas ,  Entertainment ,720.05,Net Banking,  Online ,Expense,-15591.64
100245,12/03/2023,DMart,Groceries,327.08,Debit Card,Hyderabad,Expense,-15918.72
100246,12-Mar-2023,BigBasket,Groceries,785.46,UPI,Gurugram,Expense,-16704.18
100247,12/03/2023,BigBasket,Groceries,269.06,Cash,Online,Expense,-16973.24
100248,2023-03-12,,Bills,565.75,Debit Card,Gurugram,Expense,-17538.99
100248,2023-03-12,,Bills,565.75,Debit Card,Gurugram,Expense,-17538.99
100249,12-Mar-2023,Stationery,Others,442.61,Net Banking,Hyderabad,Expense,-17981.6
100250,12/03/2023,Domino's,Food & Dining,-184.46,UPI,Gurugram,Expense,-18166.06
100251,12-Mar-2023,PVR Cinemas,Entertainment,193.39,Credit Card,Mumbai,Expense,-18359.45
100252,12-Mar-2023,,Food & Dining,314.91,Cash,Gurugram,Expense,-18674.36
100253,13-Mar-2023,PVR Cinemas,Fun,283.51,UPI,Mumbai,Expense,-18957.87
100254,13/03/2023,McDonald's,Food & Dining,225.14,Debit Card,Mumbai,Expense,-19183.01
100255,13-Mar-2023,BookMyShow,Fun,405.87,Cash,Gurugram,Expense,-19588.88
100256,14-Mar-2023,Uber,Transportation,49.15,UPI,Online,Expense,-19638.03
100257,14-Mar-2023,Zomato,Food & Dining,214.29,Credit Card,Online,Expense,-19852.32
100258,14/03/2023,Rapido,Commute,44.35,Net Banking,New Delhi,Expense,-19896.67
100259,2023-03-14,Spotify,Entertainment,452.03,Credit Card,Hyderabad,Expense,-20348.7
100260,15-Mar-2023,BSES,Bills,798.94,  Cash ,New Delhi,Expense,-21147.64
100261,2023-03-15,Stationery,Others,417.7,UPI,Gurugram,Expense,-21565.34
100262,15-Mar-2023,NPS,Investment,2069.87,Net Banking,Online,Expense,-23635.21
100263,15-Mar-2023,Zerodha,Investment,1055.1,UPI,Online,Expense,-24690.31
100264,2023-03-16,Groww,Investment,2217.05,UPI,,Expense,-26907.36
100265,16-Mar-2023,Printing Shop,Miscellaneous,291.15,Credit Card,New Delhi,Expense,-27198.51
100266,2023-03-16,Burger King,Dining,305.91,Net Banking,New Delhi,Expense,-27504.42
100267,2023-03-16,Air India,Travel,4322.28,Net Banking,Gurugram,Expense,-31826.7
100268,2023-03-17,Burger King,Food & Dining,250.97,Credit Card,Gurugram,Expense,-32077.67
100269,17/03/2023,Apollo Pharmacy,Health,1309.38,Debit Card,New Delhi,Expense,-33387.05
100270,17-Mar-2023,Spotify,entertainment,290.95,Cash,New Delhi,Expense,-33678.0
100271,18-Mar-2023,Domino's,Food & Dining,86.76,Net Banking,Noida,Expense,-33764.76
100272,18-Mar-2023,Zerodha,Investment,2241.21,Net Banking,Mumbai,Expense,-36005.97
100273,18-Mar-2023,Domino's,Dining,338.29,UPI,Online,Expense,-36344.26
100274,18/03/2023,BigBasket,Groceries,322.58,UPI,Online,Expense,-36666.84
100275,18/03/2023,DMart,Groceries,497.03,Cash,Hyderabad,Expense,-37163.87
100276,18-Mar-2023,DMart,Groceries,891.25,Cash,Online,Expense,-38055.12
100277,19-Mar-2023,Delhi Metro,Transportation,201.34,UPI,Noida,Expense,-38256.46
100278,2023-03-19,DMart,Groceries,421.53,Cash,Hyderabad,Expense,-38677.99
100279,19/03/2023,Jio,Bills,486.81,Credit Card,Mumbai,Expense,-39164.8
100280,19-Mar-2023,McDonald's,Food & Dining,263.12,Net Banking,Mumbai,Expense,-39427.92
100281,19/03/2023,McDonald's,Food & Dining,175.26,Credit Card,Mumbai,Expense,-39603.18
100282,20/03/2023,Blinkit,Groceries,490.29,UPI,Mumbai,Expense,-40093.47
100283,20-Mar-2023,Uber,Transportation,70.72,UPI,Noida,Expense,-40164.19
100284,20-Mar-2023,Zomato,Dining,133.26,UPI,Noida,Expense,-40297.45
100285,2023-03-20,Printing Shop,Miscellaneous,343.97,UPI,Gurugram,Expense,-40641.42
100286,21/03/2023,Stationery,Miscellaneous,714.06,Cash,Hyderabad,Expense,-41355.48
100287,21-Mar-2023,Ola,Transportation,240.39,Credit Card,New Delhi,Expense,-41595.87
100288,21-Mar-2023,Printing Shop,Miscellaneous,711.54,Net Banking,Gurugram,Expense,-42307.41
100289,21/03/2023,McDonald's,Food & Dining,147.5,Debit Card,Hyderabad,Expense,-42454.91
100290,21-Mar-2023,Reliance Fresh,Groceries,671.54,Credit Card,,Expense,-43126.45
100291,2023-03-22,Gift Shop,Others,254.08,Cash,Hyderabad,Expense,-43380.53
100292,2023-03-22,Gate Academy,Education,726.84,Cash,Gurugram,Expense,-44107.37
100293,23-Mar-2023,  Hostel Laundry ,  Utility Bills ,730.74,,  New Delhi ,Expense,-44838.11
100294,2023-03-23,Hostel Laundry,Bills,143.06,Cash,Hyderabad,Expense,-44981.17
100295,2023-03-23,Jio,Bills,732.55,Debit Card,Online,Expense,-45713.72
100296,24-Mar-2023,Campus Project,Freelance,11698.5,Net Banking,Hyderabad,Income,-34015.22
100297,24/03/2023,Chaayos,Food & Dining,246.08,Net Banking,Gurugram,Expense,-34261.3
100298,2023-03-24,Domino's,Food & Dining,106.07,,Hyderabad,Expense,-34367.37
